timestamp,age
1628518000,86
1628518001,75
1628518002,73
1628518003,54
1628518004,86
1628518005,54
1628518006,55
1628518007,57
1628518008,55
1628518009,58
1628518010,68
1628518011,88
1628518012,79
1628518013,60
1628518014,84
1628518015,50
1628518016,64
1628518017,66
1628518018,47
1628518019,59
1628518020,88
1628518021,46
1628518022,88
1628518023,47
1628518024,58
1628518025,55
1628518026,54
1628518027,77
1628518028,46
1628518029,79
1628518030,54
1628518031,55
1628518032,69
1628518033,51
1628518034,75
1628518035,55
1628518036,67
1628518037,64
1628518038,88
1628518039,52
1628518040,60
1628518041,59
1628518042,46
1628518043,83
1628518044,66
1628518045,90
1628518046,53
1628518047,71
1628518048,79
1628518049,47
1628518050,81
1628518051,88
1628518052,51
1628518053,48
1628518054,84
1628518055,65
1628518056,59
1628518057,60
1628518058,68
1628518059,77
1628518060,50
1628518061,48
1628518062,89
1628518063,48
1628518064,77
1628518065,46
1628518066,54
1628518067,77
1628518068,61
1628518069,78
1628518070,62
1628518071,66
1628518072,51
1628518073,89
1628518074,53
1628518075,87
1628518076,79
1628518077,83
1628518078,53
1628518079,57
1628518080,56
1628518081,56
1628518082,57
1628518083,63
1628518084,66
1628518085,89
1628518086,66
1628518087,52
1628518088,86
1628518089,57
1628518090,81
1628518091,85
1628518092,71
1628518093,61
1628518094,61
1628518095,55
1628518096,73
1628518097,52
1628518098,63
1628518099,62
1628518100,61
1628518101,46
1628518102,76
1628518103,74
1628518104,90
1628518105,48
1628518106,73
1628518107,48
1628518108,83
1628518109,56
1628518110,47
1628518111,70
1628518112,71
1628518113,65
1628518114,64
1628518115,58
1628518116,78
1628518117,58
1628518118,58
1628518119,65
1628518120,45
1628518121,78
1628518122,67
1628518123,45
1628518124,69
1628518125,50
1628518126,46
1628518127,56
1628518128,57
1628518129,87
1628518130,51
1628518131,70
1628518132,70
1628518133,88
1628518134,46
1628518135,88
1628518136,72
1628518137,79
1628518138,85
1628518139,74
1628518140,74
1628518141,71
1628518142,76
1628518143,69
1628518144,62
1628518145,54
1628518146,73
1628518147,65
1628518148,65
1628518149,63
1628518150,69
1628518151,49
1628518152,89
1628518153,90
1628518154,71
1628518155,53
1628518156,83
1628518157,59
1628518158,84
1628518159,81
1628518160,74
1628518161,75
1628518162,63
1628518163,53
